Data File,C:\Path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,5/5/2022 2:53:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,3-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,StrainA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,StrainA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,StrainA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,53.8081,41.8799,44.6243,46.2106,30.8859,40.8293,36.6912,39.4762,39.3445,31.5718,40.9643,52.0935,55.7587,34.2062,21.6603,35.8076,24.8213,15.6654,24.9649,20.2152,75.8834,31.2263,25.2186,29.719,35.8768,35.9355,22.6932,14.5384,20.7004,13.0645,11,18.5944,14.5276,18.7299,26.5681,32.3434,36.1557,19.83,20.5229,15.4265,14.9905,12.91,11,11,13.8035,15.0632,29.5216,25.9815,43.9677,14.1819,16.4358,18.4208,23.3431,15.3516,11,11.3088,60.0944,40.8428,23.9361,26.3187,24.6536,30.4515,15.3025,18.8875,11,11,11,17.1179,15.2155,11,47.9648,22.4459,18.0073,15.1239,21.519,12.9299,11,11,11,14.6174,12.1072,23.7279,26.8766,32.8701,24.1246,21.7627,17.0658,20.6296,13.055,11.1235,11,28.4831,97.8431,13.3213,15.4844,29.0291
0.25,45.9529,37.0401,37.49,35.6212,23.8698,34.2158,25.5375,31.5377,35.3193,26.0633,36.1311,43.1558,47.3081,23.6286,15.6211,31.0659,18.6459,13.8971,20.3802,16.1387,69.5175,25.7049,23.9259,28.3424,29.4202,29.1644,14.8992,13.2491,14.2751,11,11,11.2832,13.3718,17.6004,19.0846,20.6604,28.7933,13.7807,15.8768,12.0502,11,11,11,11,12.8169,14.5633,22.6144,26.604,39.1861,12.8894,14.2078,17.2437,24.9431,11,11,11,62.1083,37.0745,23.6163,25.3828,17.7573,26.1807,14.6212,15.5648,11,11,11,11.8811,18.2216,11,41.9203,20.9072,20.013,11.8226,11,11,11,11,11,11,11,20.839,24.8111,29.0679,24.9044,18.5807,11,14.2638,11,11,11,28.9646,100.8985,11,15.9319,28.8946
0.5,37.6619,31.5589,34.5123,26.5409,23.7762,27.634,24.1402,28.7832,29.8737,25.2924,34.1541,41.6294,37.6711,20.2976,11,22.0448,16.2713,12.0843,18.2921,16.9208,62.0042,26.7726,25.7142,32.42,26.0118,23.3938,14.2518,11.3478,13.6751,11,11,11,13.5665,16.5007,21.2143,28.1522,23.7154,14.9381,11.8541,11,11,11,11,11,13.185,16.453,21.9768,34.7027,41.7815,11.5583,11.967,12.5493,25.3348,11,11,11,52.9916,33.9019,20.4906,30.7408,16.7714,18.8915,11.1208,13.5198,11,11,11,11.5278,20.0401,14.0421,32.4156,27.6222,19.9468,13.6211,11,11,11,11,11,11,11,19.7816,30.4829,35.4522,26.4067,22.6123,11.4387,18.6005,11,11,11,23.6802,106.9992,17.1702,19.9804,36.4932
0.75,40.7557,31.4265,33.0043,28.1854,23.5439,28.9789,24.5616,29.3019,30.4593,26.4728,35.239,39.9653,39.3726,21.108,11.6418,25.8016,18.2371,14.4965,16.2477,16.9558,63.0844,28.0012,25.926,32.1542,25.833,26.2424,17.5887,11,14.125,11.1329,12.5152,11,14.9535,16.038,23.1944,26.9144,23.7003,14.1878,14.4195,11,11,11,11,11,14.2945,18.4062,23.94,36.6829,40.2808,14.1616,11,12.7819,23.0534,11,11,11,51.5897,33.8435,23.3676,31.1711,18.8742,19.3787,11,13.3942,11,11,11,12.345,19.9713,15.4819,31.3986,26.9453,22.7841,16.2489,11.1209,11,12.3322,11,11,11,11,21.2873,27.5961,33.9504,28.4754,24.9702,15.267,22.1581,13.2743,11,12.2804,26.6494,115.8711,18.6447,20.5437,34.9574
1,39.3866,30.1354,30.8191,26.5989,17.8946,25.8249,19.4798,25.8048,29.113,22.3128,30.0579,37.4498,37.4745,18.6723,11,23.1145,15.2338,11,14.701,12.1166,62.9696,21.7806,19.0902,25.152,23.3255,20.8071,11.8038,11,11,11,11,11,11,12.067,14.9437,18.4812,22.2336,11,11,11,11,11,11,11,11,12.4638,15.4376,24.0907,37.2223,11,11,11,14.3076,11,11,11,45.7809,22.5906,16.8576,21.5795,13.4735,11,11,11,11,11,11,11,12.8537,11,27.1105,20.5161,12.144,11,11,11,11,11,11,11,11,11,14.2832,27.4034,18.9302,16.9481,11,11,11,11,11,17.5675,108.7945,11,11,28.8474
1.25,49.4822,38.2955,41.2372,36.3842,27.5951,38.0109,33.3989,40.3709,37.7905,32.8905,41.2569,45.5438,48.9184,24.9893,16.7736,31.4063,22.3294,15.4673,23.7797,18.9378,68.0414,33.7859,26.9611,33.0228,33.4027,28.7574,17.1199,12.8552,16.5375,12.7819,13.807,11,17.1977,19.7028,20.9793,23.9067,31.231,14.7648,17.4117,11,11,11,11,11,15.9814,17.7727,22.1169,31.1893,43.9565,12.4977,13.0193,12.1867,18.8913,11,11,11,51.2802,24.1719,17.967,27.3756,17.798,12.916,14.6793,11,11,11,11,16.922,16.222,11,29.434,25.2099,16.9536,13.6925,11,11,11,11,11,11,11,12.5991,13.6719,29.413,20.9848,15.3835,11,11,11,11,11,19.5359,116.4614,13.0113,18.3178,30.3014
1.5,50.7411,41.9042,43.6232,40.4769,31.6982,38.6371,35.6152,44.4314,40.7817,31.3489,43.9519,45.5891,52.8066,28.5594,19.3993,31.3173,26.0612,16.2971,25.6847,18.1912,70.0571,31.9035,26.7735,31.8611,34.0978,33.2264,22.4355,13.1494,19.9014,13.1717,11.8468,11,15.3733,20.706,20.1287,22.794,33.2891,17.3983,20.8621,13.0508,11,11,11,12.7095,15.7521,17.0125,22.093,28.1886,40.633,15.0818,13.1296,11.9718,18.9166,11,11,11,49.3566,19.1125,16.3264,27.3987,18.6854,14.9273,11,11,11,11,11,17.0577,15.963,12.0413,31.7174,23.5042,16.9564,12.0291,11,11,11,11,11,11,11,11,12.8239,25.8628,18.5102,15.6162,11,11,11,11,11,18.0493,117.1991,11.5194,15.2484,28.4015
1.75,47.0019,36.3349,38.4416,33.5149,28.5413,36.3309,31.2176,36.9435,37.2628,31.4597,39.668,45.8416,44.6549,23.2488,13.3766,27.1211,23.0982,15.7448,23.2936,20.908,65.6819,32.6256,27.671,34.1604,31.4583,27.5197,20.1732,14.2514,17.4275,12.0865,13.5261,11,15.2826,19.88,22.1375,27.0774,29.4983,17.349,14.7034,11.0755,11,11,11,11.4312,15.4358,18.6176,22.3651,33.8023,41.8937,14.2844,11,11,22.4488,12.0615,11,11,45.3921,22.1537,18.4622,32.8434,20.0831,14.1001,11,11.0296,11,11,11,14.7804,18.9774,13.1626,28.2108,28.1043,20.2206,17.6338,11,11,11,11,11,11,11,16.6918,15.5577,32.4678,24.3642,20.3248,11,15.5921,11.4087,11,11,24.0034,117.1657,17.1094,19.445,35.2082
2,39.15,29.4591,29.4983,27.9941,23.5762,25.5026,23.6291,29.3399,31.7496,28.663,34.1285,42.3499,36.522,19.0961,11,22.3054,19.8391,15.0111,18.7653,17.8035,59.3538,28.4049,26.0445,30.131,26.0835,20.1904,11,11,13.5287,11,11.8066,11,14.4869,18.0694,21.931,27.8187,24.1331,13.2708,11,11,11,11,11,11,14.0603,17.9345,20.3588,35.2327,37.1712,11.9122,11,11,21.8014,11,11,11,38.0755,19.699,19.7347,33.9043,14.0639,12.9027,11,11.753,11,11,11,13.2983,17.6279,13.4841,17.9314,28.4193,18.9107,14.3827,11,11,11,11,11,11,11,17.3536,16.7058,34.6545,20.312,24.8536,11.945,19.6279,12.4578,11,11,25.823,113.6836,16.6852,18.6063,39.4127
2.25,40.7423,30.3565,30.7227,26.3324,21.8618,27.5154,24.8718,29.7277,30.5041,26.9277,33.3449,41.7365,36.1149,20.6202,11,23.1339,19.3028,14.3009,19.7601,15.6384,57.246,26.8473,23.1191,28.8833,23.9574,22.4795,14.4759,11,11.9879,11,11.4016,11,13.2928,17.4004,19.61,26.1114,22.0091,12.0649,11,11,11,11,11,11,12.9334,16.9275,18.866,31.062,35.8185,12.2694,11,11,22.7232,11,11,11,35.158,17.8513,19.0579,33.3639,14.8933,12.5186,11,11,11,11,11,13.3953,15.6052,11.5239,16.5971,26.5726,20.3389,12.5094,11,11,11,11,11,11,11,17.0306,15.3372,31.7026,23.0042,22.0397,13.4933,18.0311,11,11,11,23.6833,112.4759,17.0642,18.276,37.3472
