Ortholog,Presence
K06238,1
K07406,1
K02027,1
K02025,1
K02026,1
K01271,1
K21061,1
K12658,1
K21062,1
K22187,1
K09955,1
K02585,1
K02588,1
K02586,1
K02591,1
K02587,1
K02592,1
K21029,1
K02594,1
K18887,1
K18888,1
K19576,1
K23237,1
K02100,1
K10439,1
K07406,1
K01179,1
K01240,1
K14489,1
K07979,1
K16921,1
K02040,1
K20813,1
K00259,1
K07507,1
K03768,1
K23356,1
K13853,1
K22278,1
K10439,1
K07718,1
K05601,1
K10546,1
K10548,1
K10547,1
K03719,1
K08223,1
K05349,1
K09457,1
K10026,1
K01737,1
K06920,1
K06348,1
K11751,1
K22299,1
K07273,1
K03701,1
K00612,1
K00142,1
K00645,1
K12368,1
K12369,1
K12370,1
K01129,1
K07446,1
K01975,1
K00284,1
K19420,1
K16692,1
K00963,1
K24657,1
K00012,1
K16011,1
K19420,1
K00903,1
K16566,1
K02377,1
K01711,1
K05946,1
K00012,1
K01005,1
K01990,1
K01992,1
K19304,1
K06131,1
K01971,1
K01953,1
K06148,1
K10979,1
K01035,1
K01034,1
K01574,1
K00626,1
K06925,1
K14742,1
K03789,1
K25706,1
K06158,1
K01934,1
K03637,1
K03831,1
K03118,1
K04078,1
K04077,1
K22278,1
K05814,1
K05815,1
K05813,1
K25181,1
K02001,1
K02000,1
K22109,1
K03929,1
K13487,1
K01990,1
K02483,1
K01938,1
K01775,1
K07723,1
K07171,1
K06959,1
K03095,1
K22103,1
K00432,1
K01546,1
K01547,1
K01548,1
K03322,1
K04063,1
K11707,1
K11710,1
K11708,1
K11709,1
K07646,1
K02283,1
K07071,1
K01151,1
K01433,1
K00615,1
K09913,1
K00020,1
K01810,1
K02045,1
K06167,1
K03800,1
K04720,1
K02227,1
K02226,1
K25034,1
K25027,1
K25028,1
K00768,1
K02231,1
K02233,1
K02232,1
K03488,1
K02757,1
K06956,1
K09125,1
K01271,1
K00027,1
K01611,1
K06179,1
K03654,1
K01077,1
K03975,1
K00570,1
K03574,1
K21567,1
K06950,1
K15256,1
K07025,1
K00164,1
K00658,1
K01809,1
K07139,1
K03439,1
K03429,1
K02520,1
K02916,1
K02887,1
K07335,1
K23537,1
K23535,1
K23536,1
K01652,1
K01653,1
K00053,1
K01649,1
K00052,1
K03386,1
K07710,1
K21023,1
K01732,1
K06185,1
K01889,1
K01890,1
K07456,1
K08989,1
K08222,1
K10907,1
K00798,1
K06180,1
K00537,1
K23786,1
K00847,1
K03284,1
K00651,1
K01739,1
K01760,1
K11784,1
K03455,1
K07228,1
K04771,1
K07669,1
K03527,1
K03856,1
K01915,1
K00831,1
K03216,1
K00825,1
K07180,1
K06595,1
K06331,1
K02483,1
K14591,1
K16841,1
K11329,1
K07711,1
K03862,1
K06415,1
K09786,1
K06148,1
K23779,1
K06133,1
K25232,1
K17882,1
K23228,1
K08963,1
K00899,1
K04047,1
K09013,1
K09015,1
K11717,1
K04488,1
K09014,1
K03699,1
K06333,1
K06334,1
K02337,1
K01963,1
K01962,1
K00873,1
K02040,1
K02037,1
K02038,1
K02036,1
K07107,1
K07113,1
K01647,1
K00031,1
K00024,1
K07636,1
K07658,1
K02036,1
K02039,1
K02335,1
K10563,1
K00859,1
K08309,1
K06419,1
K07738,1
K15504,1
K03436,1
