#							activity
#plate_id	well_id	chemical	category	moa	co_id	replica	CoInoculum	StrainA	StrainB
PM01	A01	Negative Control	carbon	C-Source, negative control		2	0	0	0
PM01	A02	L-Arabinose	carbon	C-Source, carbohydrate	C00259	2	8	8	8
PM01	A03	N-Acetyl-D-Glucosamine	carbon	C-Source, carbohydrate	C00140	2	1	2	1
PM01	A04	D-Saccharic acid	carbon	C-Source, carboxylic acid	C00818	2	1	1	0
PM01	A05	Succinic acid	carbon	C-Source, carboxylic acid	C00042	2	0	0	1
PM01	A06	D-Galactose	carbon	C-Source, carbohydrate	C00124	2	1	0	0
PM01	A07	L-Aspartic acid	carbon	C-Source, amino acid	C00049	2	2	0	3
PM01	A08	L-Proline	carbon	C-Source, amino acid	C00148	2	0	2	1
PM01	A09	D-Alanine	carbon	C-Source, amino acid	C00133	2	1	2	1
PM01	A10	D-Trehalose	carbon	C-Source, carbohydrate	C01083	2	3	5	3
PM01	A11	D-Mannose	carbon	C-Source, carbohydrate	C00159	2	4	5	4
PM01	A12	Dulcitol	carbon	C-Source, carbohydrate	C01697	2	4	4	3
PM01	B01	D-Serine	carbon	C-Source, amino acid	C00740	2	0	0	0
PM01	B02	D-Sorbitol	carbon	C-Source, carbohydrate	C00794	2	2	2	2
PM01	B03	Glycerol	carbon	C-Source, carbohydrate	C00116	2	2	2	2
PM01	B04	L-Fucose	carbon	C-Source, carbohydrate	C01019	2	1	0	0
PM01	B05	D-Glucuronic acid	carbon	C-Source, carboxylic acid	C00191	2	0	1	0
PM01	B06	D-Gluconic acid	carbon	C-Source, carboxylic acid	C00257	2	1	2	3
PM01	B07	DL-a-Glycerol Phosphate	carbon	C-Source, carbohydrate	C00093	2	1	3	3
PM01	B08	D-Xylose	carbon	C-Source, carbohydrate	C00181	2	8	7	7
PM01	B09	L-Lactic acid	carbon	C-Source, carboxylic acid	C01432	2	1	0	3
PM01	B10	Formic acid	carbon	C-Source, carboxylic acid	C00058	2	0	0	0
PM01	B11	D-Mannitol	carbon	C-Source, carbohydrate	C00392	2	3	5	4
PM01	B12	L-Glutamic acid	carbon	C-Source, amino acid	C00025	2	3	3	6
PM01	C01	D-Glucose-6-Phosphate	carbon	C-Source, carbohydrate	C00092	2	0	0	0
PM01	C02	D-Galactonic acid-g-Lactone	carbon	C-Source, carboxylic acid	C03383	2	0	0	0
PM01	C03	DL-Malic acid	carbon	C-Source, carboxylic acid	C00497	2	3	3	3
PM01	C04	D-Ribose	carbon	C-Source, carbohydrate	C00121	2	9	9	9
PM01	C05	Tween 20	carbon	C-Source, fatty acid	C11624	2	0	0	0
