Data File,F:\OneDrive_1_18-7-2022\PM3 BASU-BALI_PM3_30__1_30_EXC_337_5#5#2022_A_ 6A_10.OKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,5/5/2022 2:53:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,6-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,CoInoculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,CoInoculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,CoInoculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,51.0163,20.9912,11.6883,21.426,28.0382,11.0612,28.16,42.4437,30.9805,42.736,35.6449,93.3827,19.3956,24.0324,11,15.854,30.3385,11,11,17.9132,33.9393,35.4783,33.2608,44.258,56.7937,15.2997,18.4362,16.0442,17.85,11,17.8842,24.049,21.1537,34.5259,30.2191,46.8115,28.3589,14.1447,25.3135,12.3684,14.2512,11,11,12.2147,37.6624,31.1006,30.4759,53.924,30.5133,24.1485,14.4478,27.0993,15.335,24.2711,13.7401,49.2196,30.459,29.1165,31.7383,44.8107,35.9755,32.0023,34.967,29.6654,14.7634,59.7271,103.7857,24.7967,19.4697,28.7205,35.675,49.9707,38.3618,27.0818,55.6907,37.4415,22.2711,26.2295,19.6919,29.6849,26.3111,40.6574,38.0121,70.3314,47.7329,35.6377,44.7667,36.6169,24.2701,31.0476,24.1834,49.1485,33.1447,26.3183,44.7927,47.3729
0.25,37.3102,18.3362,12.3148,14.5619,16.5077,11,29.71,41.9971,22.7581,26.0508,32.6947,93.2873,32.14,34.0189,12.6688,16.2301,17.0333,11,13.9864,18.3024,33.6542,27.5903,24.431,38.1558,51.287,19.567,14.2375,15.0076,15.3605,12.6374,12.1976,28.5751,15.8494,36.1279,19.6553,37.222,25.3086,24.6063,16.1158,11,15.0633,15.1188,11.68,15.9988,23.0394,21.3103,23.1145,47.0106,29.3915,26.7052,17.2161,16.7206,11.0902,16.2123,11.7286,37.764,19.2841,24.6037,22.2831,34.9189,37.4473,29.047,32.4119,19.5422,15.7876,57.2073,107.8152,16.318,20.7539,23.9652,24.0603,40.6602,34.2881,20.8133,52.4805,31.4999,26.061,21.8201,19.4494,25.0573,19.5528,49.7448,26.8071,58.5413,38.4858,28.6345,31.3458,34.2964,25.9159,23.3864,25.7197,32.4332,26.4506,36.1725,34.3102,49.2658
0.5,33.8854,16.505,11.9219,14.2333,15.1248,11,28.3066,38.6451,22.2332,26.4327,31.3132,91.0983,29.7018,31.5709,11,15.0697,17.0229,11,11.7674,15.8448,32.5449,25.5904,22.6495,39.2899,44.0648,17.9277,14.263,16.7129,14.5709,11.8037,12.5882,30.2034,16.1126,34.1877,21.263,36.1043,23.1938,20.416,14.8705,11,12.975,13.0665,11,14.1227,21.5326,20.1211,22.8519,44.9884,28.2091,23.8897,12.7529,16.6217,11,13.9292,11.3849,38.5953,19.8182,23.889,22.9164,35.5361,36.422,26.0358,28.9472,17.6553,16.3373,62.2492,119.2933,18.2927,22.1443,24.7069,24.3076,40.3954,33.9522,21.7406,51.0978,31.3738,21.7198,20.2017,19.1115,21.7382,21.6663,49.4784,26.5072,52.3003,37.3933,28.8747,30.9696,30.4794,25.3268,24.293,24.6685,27.8991,25.1891,34.1612,34.909,43.4831
0.75,24.954,16.7312,11.1044,14.5668,12.6287,11,27.8441,35.5376,18.8933,21.063,40.393,87.9515,32.0415,33.4521,12.812,14.6379,11.1933,11,15.416,13.5932,34.5691,22.6613,23.8779,36.8031,41.8353,18.756,12.8466,13.9536,12.8256,13.4178,13.6783,33.5508,15.2857,34.2167,20.969,36.8964,25.406,23.0948,12.9546,11,14.2365,15.6569,11.31,17.4243,20.1904,22.0954,22.1748,40.9516,31.0852,28.7058,17.5903,15.3292,11,13.9735,11,41.4971,18.8281,23.6792,22.5461,37.497,38.2114,27.4055,31.1662,18.8138,17.1852,64.2732,67.3209,18.8928,23.0485,23.4069,26.6715,40.4907,36.1623,24.4149,55.3308,32.3358,26.7375,21.1708,20.9476,27.254,23.663,59.109,29.5664,49.1643,37.1663,30.924,31.9987,38.2523,30.9541,26.6749,30.483,30.3472,31.3663,42.2869,38.7516,50.1094
1,18.5172,11,11,11,11,11,21.5076,29.737,15.1586,17.6593,35.6066,81.6228,27.1777,24.1851,11,11,11,11,11,11,25.8357,21.1863,16.6982,33.9457,36.8499,13.214,11,11,11,11,11,26.187,11,28.3178,15.3411,32.0234,19.7999,15.7712,11,11,11,11,11,11,12.8863,15.2656,17.25,34.6135,24.0874,20.9127,11.9675,11,11,11,11,38.1943,14.6964,16.0789,16.3797,31.6545,31.6244,22.3003,25.8938,11.5943,13.8092,61.3901,110.9866,11.9927,18.4951,17.188,21.9556,35.8137,29.6388,18.229,43.841,25.449,20.4947,17.5282,15.608,17.5849,15.9666,54.6613,23.7229,39.3263,32.0112,26.1305,27.265,29.2244,24.6108,21.0884,23.5009,22.9342,27.4154,35.8913,31.4447,41.8829
1.25,31.2596,24.721,16.2923,17.6795,15.5404,11,24.9905,30.1736,17.0207,20.0921,36.6664,81.8996,39.6429,30.3876,16.5536,16.024,13.8264,11,11,11,29.4642,19.668,14.7937,32.3573,47.9806,26.2862,19.2821,15.8344,15.221,11.598,11,28.0532,11,31.6777,13.6873,31.133,35.2644,26.6584,13.9235,11.1176,13.3186,15.9063,11,13.2823,13.8416,16.3803,17.3918,28.8132,44.3099,28.744,18.2527,13.3207,11,13.4638,11,46.1146,11.2967,15.6412,17.8417,26.625,53.9799,33.3468,37.7079,17.6337,20.1395,64.9239,116.9787,11.5127,21.7752,18.6459,21.1219,30.8959,46.7399,27.657,42.5168,34.893,27.9093,21.628,21.6028,20.6801,16.4923,48.2959,24.9458,42.7782,54.8919,38.9383,32.2447,33.505,33.2618,24.3536,30.841,26.307,27.7178,41.6968,33.2281,46.5014
1.5,22.9078,13.9831,11,13.7372,13.1917,11,17.3924,18.7842,18.3446,23.854,42.6808,79.5325,23.4907,24.2237,11,11,11,11,11,11,26.2187,20.3551,22.9222,42.0468,38.755,14.433,11,11.8992,11,11,11,24.1759,14.6334,29.2714,23.8124,40.9376,20.9196,18.1068,11.0895,11,11,11,11,12.98,14.6122,20.8459,22.8068,41.5315,24.8453,22.4764,13.9353,13.1381,11,14.7696,13.3109,53.1359,15.1345,18.5622,22.6192,34.3288,31.7166,23.5457,25.4603,18.1479,15.9756,69.3889,112.1555,19.0293,23.3789,22.3955,30.7883,36.5051,33.7792,21.3031,31.6335,27.418,21.7299,19.5319,18.1463,29.0965,22.1638,44.1396,33.3858,40.2195,38.147,31.4161,30.1987,32.533,31.3992,27.487,28.5467,30.0653,33.948,43.7363,42.5608,52.9983
1.75,24.2137,21.3465,11,16.7144,20.4968,11,16.0689,17.3247,20.1246,28.824,47.5391,75.4651,25.8163,18.5543,11,11.965,15.4127,11,11,11,15.0009,24.7154,18.4347,39.0674,54.7659,20.6743,14.6546,12.4073,13.3968,11,11,14.11,11,20.1838,17.8388,33.7545,25.0068,13.634,11.0752,11,11,11,11,11,13.2825,20.6055,16.7744,35.3454,31.7576,20.4884,12.0908,15.5197,11,11.252,11,47.388,11,12.6728,19.4036,26.3995,39.1248,27.9635,22.1596,17.9365,13.4113,75.6292,111.3761,12.1465,13.1691,15.1479,19.6015,30.6531,35.3185,19.616,23.3159,29.8937,21.0892,16.892,12.9876,14.827,13.1162,33.0344,25.2664,31.3457,40.8253,31.6733,24.5357,25.2325,20.7281,20.5741,19.7097,21.2115,24.9166,21.5665,29.2877,34.3318
2,15.1691,11,11,11,14.3339,11,11.3275,13.1184,20.2302,31.2417,51.048,75.344,13.7615,11,11,11,11,11,11,11,11,25.4417,21.0771,47.907,48.2902,11,11,11,11,11,11,11,12.3554,20.135,19.8492,42.0396,17.6581,11,11,11,11,11,11,11,17.7591,25.7176,23.1467,42.86,21.4621,17.0971,11,18.8232,11,15.7034,11,43.8987,15.7493,16.6159,23.6436,39.4434,24.9379,23.9833,13.9462,22.3248,11,89.3531,110.3037,16.4629,17.5184,15.361,29.1593,44.9934,32.6359,22.8474,32.8274,32.9822,16.4405,18.0423,11.7405,21.1161,19.2512,35.7866,28.7204,36.9469,37.4545,28.4375,35.8493,27.1454,20.8068,21.2433,19.8024,28.7603,28.2579,26.6405,37.9282,45.3068
2.25,17.8887,14.996,11,12.3965,14.5924,11,12.2616,15.4726,18.4736,23.6359,46.8571,69.2275,21.1101,17.6544,11,11,11.9238,11,11,11,17.967,23.2813,21.6691,42.5801,34.3404,13.6223,11.2837,11,11,11,11.1329,15.1476,16.2215,25.0184,21.9244,40.6949,20.6734,14.4353,11.5539,11,11,11,11,11.2657,16.8622,20.2653,21.5875,41.9339,26.9063,19.1898,13.4596,13.766,11,15.3147,11,50.3725,13.4391,17.7705,22.206,35.2925,31.6619,23.6355,20.2142,16.5989,14.4476,84.8454,114.8266,15.5996,20.6022,24.7523,28.8678,35.9533,33.2475,21.5714,26.9158,28.9721,21.079,18.4758,17.5311,23.2273,23.9212,36.3481,28.7486,39.0122,35.9769,30.1816,30.4473,28.4509,29.2432,28.1477,26.1112,28.3988,30.2389,36.5971,41.251,48.0001
