Data File,C:\Path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,5/5/2022 2:53:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,2-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,StrainB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,StrainB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,StrainB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0,15.88,11,11,11,11,11,28.5615,11,11,24.2981,25.6136,28.0932,17.0466,11,11,11,11,11,11,11,11,16.1784,24.8744,24.5231,27.9136,21.1709,11,11,11,15.0321,11,18.655,11,13.6386,27.9205,27.3406,15.9408,11,11,12.7215,11,11,11,11,11,16.2521,11.3003,30.6553,19.3481,11,11,11,11,11,11,11,11,12.1259,13.5357,19.0062,25.1463,21.3644,11,11,11,11,82.6837,11,11,11,19.6644,26.5763,26.971,13.0122,19.6751,19.6461,14.4943,11,11,11,31.0433,29.6682,20.366,101.6331,27.2027,21.8202,23.4436,15.1533,15.285,14.6974,14.8802,17.5503,17.0771,16.7101,21.1665,29.6359
0.25,13.1054,11,11,11,11,11,27.7351,11,11,14.4274,29.5202,27.8798,14.082,11,11,11,11,11,11,11,11,15.4547,21.4626,31.1359,21.5173,11.8448,11,11,11,13.2031,11,15.0125,11,16.8926,26.1024,31.603,14.2333,11,11,11,11,11,11,11,11,17.2636,15.8788,33.9184,15.3022,11.9309,11,11,11,11,11,11,11,14.7804,18.5421,30.9572,18.4927,16.6359,11,11,11,13.6183,84.1848,11,11.4602,11,24.9034,42.0519,29.3338,13.6581,25.2165,19.5442,13.2088,11,11,12.6629,45.1503,31.9153,28.99,86.9278,32.3182,21.9502,32.1505,20.7723,17.0107,18.2229,17.0217,26.2353,22.8179,20.0846,30.9155,43.5924
0.5,15.7738,11,11,11,11,11,26.3131,15.7644,19.745,25.4098,39.6371,39.8902,16.1123,11,11,11,11,11,11,11,11,24.3474,28.2394,42.408,29.7571,17.5732,11,12.943,11,13.1135,11,15.9623,13.2203,21.9929,32.1895,40.3646,16.1027,11,11,11,11,11.3247,11,11.5008,17.267,23.7103,23.7166,42.6743,21.998,15.9311,11,11,11,11.7949,11,13.6676,21.7057,22.2268,26.8486,41.9555,24.1038,23.9917,13.394,11.2729,12.3306,20.575,87.5775,17.8875,20.4933,18.0206,31.6186,50.0998,32.5509,21.3104,32.2028,28.3875,16.9472,15.7216,18.7456,20.5828,60.3316,41.8302,34.3584,77.9293,36.6549,27.2957,38.256,23.5035,19.9322,24.7586,23.651,33.3129,29.7711,28.1934,38.213,50.685
0.75,16.3054,11,11,11,11,11,31.4019,16.5734,15.6105,15.1086,38.4774,29.5594,19.4714,11,11,11,11,11,11,11,11,17.8517,22.8974,37.3986,26.1279,13.3887,11,11,11,18.5501,11,21.8349,11,17.8508,22.3973,34.4423,16.1273,11,11,12.4628,11,11,11,12.9654,15.2529,20.283,20.5762,37.036,20.1776,11,11,11,11,11,11,11,18.4595,19.9191,24.0176,38.3241,22.4909,19.4069,11.3661,11,11.2072,18.113,83.2403,13.8306,14.5968,16.7531,28.9082,46.5856,23.6919,15.0168,24.1748,22.7537,17.5141,16.1307,15.2415,16.2695,51.3576,36.9311,28.4107,73.0714,27.3612,23.0169,27.1994,21.7567,17.995,18.0319,21.4243,29.6323,27.4725,26.0696,32.7995,45.2189
1,16.871,11,11,11,11,11,21.3441,11,11,11,26.5518,20.2536,20.0647,11,11,11,11,11,11,11,11,11,12.5648,25.6586,24.8945,11,11,11,11,13.5809,11,14.3716,11,11,15.6967,23.0462,17.7793,11,11,11,11,11,11,11,11,12.0107,12.8329,25.844,18.5901,11,11,11,11,11,11,11,11,11,14.1432,25.5726,18.4147,13.8745,11,11,11,12.8034,83.5429,11,11,11.934,20.6362,35.0518,25.3832,14.8308,26.9139,15.9845,11,11,11,11,37.957,39.1224,20.2737,65.072,29.5504,22.5871,29.0874,18.8337,15.2358,17.5945,13.488,19.7743,21.8317,20.9929,26.8044,34.3421
1.25,14.3669,11,11,11,13.2032,11,16.1076,15.0055,23.6552,31.7372,49.2722,45.0942,13.6118,11,11,11,11,11,11,11,11.1173,28.499,28.6401,48.0449,28.7023,12.1576,11,11,11.9463,11,12.0345,11,16.2321,29.3474,32.4096,48.2425,20.4191,11,11,11,11,12.3152,12.0384,13.1056,20.5356,33.1289,27.4958,48.7076,22.1131,21.8928,11,16.9803,11,18.0964,11,18.0259,22.3935,22.991,30.2413,47.641,24.189,26.3387,14.8723,18.8357,12.2611,21.9839,87.948,22.4009,25.4015,22.7978,36.2603,54.2051,36.5687,25.1383,35.461,33.4607,20.6327,22.279,21.373,28.0173,67.4831,47.566,41.8196,50.3086,43.8208,34.7333,44.391,32.3782,22.9075,30.6447,26.0025,41.0171,35.6472,35.4121,43.9808,58.4699
1.5,16.809,11,11,11,11.2073,11,14.5136,13.5115,20.9916,24.9388,42.0373,40.9935,17.505,11,11,11,11,11,11,11,11,23.5622,25.687,40.9567,28.4086,15.6412,11,12.8565,11.015,11,11,11,13.145,24.6303,24.6803,38.7941,19.6542,12.2289,11,11,11,11.8538,12.2361,12.7453,17.9039,26.1976,23.0304,44.5211,23.3656,19.5138,11,12.3511,11,13.4055,11,14.626,20.1812,20.2816,26.9876,38.4951,27.6383,24.4516,14.7974,15.7502,12.1847,18.4592,86.8703,18.8798,19.3657,17.5324,30.9352,46.9993,31.0845,19.7014,27.0932,29.362,21.2865,18.5087,18.2377,21.6495,55.7161,41.5733,33.7456,47.3597,37.5399,29.9121,35.833,23.7247,20.3686,22.1219,24.2737,34.4895,30.3078,29.5752,34.9365,48.3682
1.75,13.0733,11,11,11,11,11,11,11,11.7359,18.9368,38.7903,35.4057,14.744,11,11,11,11,11,11,11,11,18.4081,18.8182,34.9638,23.6883,11,11,11,11,11,11,11,11,17.8028,17.5563,34.2733,15.6494,11,11,11,11,11,11,11,11,19.6062,15.6587,40.2816,17.9832,13.1722,11,11,11,11,11,11,13.7749,15.6515,21.7916,32.7203,20.4298,19.1619,11.5987,11.2282,11,15.3364,83.4719,12.8102,14.6251,13.629,24.9737,41.3142,25.0752,14.3438,21.8411,24.198,15.143,12.4882,11.0308,13.8044,47.5885,36.8365,29.0748,42.8965,32.9582,24.6276,30.6314,20.1367,15.3583,16.8626,18.4545,28.352,24.4267,22.6763,30.2852,40.5335
2,13.5073,11,11,11,11,11,11,11,11.8538,19.4141,39.141,35.3863,15.5493,11,11,11,11,11,11,11,11,16.8604,15.676,37.114,26.3187,11,11,11,11,11,11,11,11,17.0457,16.4639,31.5636,14.8214,11,11,11,11,11,11,11,11.8816,16.4892,13.9237,36.836,20.4573,12.7853,11,11,11,11,11,11,13.0778,13.3522,17.6402,29.5507,23.3113,19.0554,11.89,11,11,19.0473,84.4234,11,12.2027,11.1322,23.4725,36.7917,24.4256,13.0834,20.1979,24.116,14.0341,12.3993,11,12.4252,44.3424,37.3544,23.4513,38.006,28.8462,22.1937,25.7102,19.7176,15.4806,15.5357,16.26,23.5276,22.884,22.871,27.2839,37.1227
2.25,13.3302,11,11,11,11,11,11,11.971,13.0037,17.1011,40.0342,33.8452,15.3888,11,11,11,11,11,11,11,11,19.7406,17.5192,39.1388,25.3252,11.8296,11,11,11,11,11,11,11,18.4951,17.4035,33.1886,15.1625,11,11,11,11,11,11,11,12.8127,18.9883,17.6134,39.9443,18.9531,15.6735,11,11,11,11,11,11,15.5383,13.6525,21.1366,33.826,24.3642,20.2115,12.7449,11.7587,11,15.9665,85.7003,13.9913,16.2753,14.7467,25.7199,40.0747,27.3336,17.1268,22.5808,25.7612,14.6475,13.845,11.9659,16.3437,48.0305,34.2667,28.2048,37.1156,31.2554,26.9074,32.4832,20.5254,19.5529,21.1409,21.1856,26.7141,25.785,26.0224,32.6636,41.831
